"Date","Price","Open","High","Low","Vol.","Change %"
"31-07-2022","37,920.60","37,594.15","38,231.85","37,249.50","1.23B","1.14%"
"24-07-2022","37,491.40","36,766.70","37,754.65","36,248.60","706.29M","2.05%"
"17-07-2022","36,738.95","34,841.85","36,823.45","34,804.40","800.92M","5.93%"
"10-07-2022","34,682.65","35,017.60","35,543.10","34,463.90","567.92M","-1.26%"
"03-07-2022","35,124.05","33,558.85","35,262.10","33,515.60","683.23M","4.72%"
"26-06-2022","33,539.45","34,126.20","34,147.50","33,080.45","676.63M","-0.26%"
"19-06-2022","33,627.45","32,873.40","33,721.90","32,426.40","880.39M","2.70%"
"12-06-2022","32,743.05","33,728.65","33,774.05","32,290.55","605.22M","-5.05%"
"05-06-2022","34,483.80","35,159.15","35,449.90","34,346.65","507.89M","-2.24%"
"29-05-2022","35,275.05","35,958.80","36,083.70","35,175.10","622.55M","-0.95%"
"22-05-2022","35,613.30","34,321.40","35,694.85","34,115.80","797.28M","3.90%"
"15-05-2022","34,276.40","33,256.00","34,655.80","33,001.75","783.15M","3.49%"
"08-05-2022","33,121.35","34,091.75","34,793.20","33,007.90","1.15B","-4.25%"
"01-05-2022","34,591.20","35,627.60","36,309.30","34,353.20","751.28M","-4.15%"
"24-04-2022","36,088.15","35,792.35","36,718.80","35,511.40","770.73M","0.12%"
"17-04-2022","36,044.75","36,833.15","37,123.55","35,926.30","825.47M","-3.79%"
"10-04-2022","37,463.40","37,591.75","37,988.60","37,264.45","446.38M","-0.76%"
"03-04-2022","37,752.05","37,824.95","38,765.85","37,346.80","1.18B","1.62%"
"27-03-2022","37,148.50","35,488.70","37,209.80","35,016.30","1.13B","4.91%"
"20-03-2022","35,410.10","36,545.85","36,827.60","35,203.85","891.62M","-2.80%"
"13-03-2022","36,428.55","34,660.25","36,611.95","34,625.05","773.24M","5.45%"
"06-03-2022","34,546.25","33,278.15","35,374.15","32,155.35","1.23B","0.40%"
"27-02-2022","34,407.80","35,938.95","36,270.25","34,094.10","816.57M","-5.55%"
"20-02-2022","36,430.75","37,400.00","38,054.40","34,991.35","1.24B","-3.11%"
"13-02-2022","37,599.15","37,664.00","38,461.70","36,651.85","826.69M","-2.38%"
"06-02-2022","38,517.25","38,592.05","39,197.20","37,319.05","869.71M","-0.70%"
"30-01-2022","38,789.35","38,091.80","39,424.85","37,647.85","1.06B","2.92%"
"23-01-2022","37,689.40","37,601.95","38,421.70","36,375.35","1.14B","0.31%"
"16-01-2022","37,574.30","38,212.55","38,855.55","37,224.25","781.84M","-2.07%"
"09-01-2022","38,370.40","37,930.55","38,851.45","37,929.35","829.92M","1.67%"
"02-01-2022","37,739.60","35,585.20","38,134.85","35,526.60","1.03B","6.36%"
